,rec_source,data_provider,country_name,country_iso_code,validity_date,attribute,value,unit
0,API_NY.GDP.MKTP.PP.CD_DS2_en_csv_v2.csv,WDI,Aruba,ABW,1960,"GDP, PPP (current international $)",,current US$
1,API_NY.GDP.MKTP.PP.CD_DS2_en_csv_v2.csv,WDI,Africa Eastern and Southern,AFE,1960,"GDP, PPP (current international $)",,current US$
2,API_NY.GDP.MKTP.PP.CD_DS2_en_csv_v2.csv,WDI,Afghanistan,AFG,1960,"GDP, PPP (current international $)",,current US$
3,API_NY.GDP.MKTP.PP.CD_DS2_en_csv_v2.csv,WDI,Africa Western and Central,AFW,1960,"GDP, PPP (current international $)",,current US$
4,API_NY.GDP.MKTP.PP.CD_DS2_en_csv_v2.csv,WDI,Angola,AGO,1960,"GDP, PPP (current international $)",,current US$
5,API_NY.GDP.MKTP.PP.CD_DS2_en_csv_v2.csv,WDI,Albania,ALB,1960,"GDP, PPP (current international $)",,current US$
6,API_NY.GDP.MKTP.PP.CD_DS2_en_csv_v2.csv,WDI,Andorra,AND,1960,"GDP, PPP (current international $)",,current US$
7,API_NY.GDP.MKTP.PP.CD_DS2_en_csv_v2.csv,WDI,Arab World,ARB,1960,"GDP, PPP (current international $)",,current US$
8,API_NY.GDP.MKTP.PP.CD_DS2_en_csv_v2.csv,WDI,United Arab Emirates,ARE,1960,"GDP, PPP (current international $)",,current US$
9,API_NY.GDP.MKTP.PP.CD_DS2_en_csv_v2.csv,WDI,Argentina,ARG,1960,"GDP, PPP (current international $)",,current US$
10,API_NY.GDP.MKTP.PP.CD_DS2_en_csv_v2.csv,WDI,Armenia,ARM,1960,"GDP, PPP (current international $)",,current US$
11,API_NY.GDP.MKTP.PP.CD_DS2_en_csv_v2.csv,WDI,American Samoa,ASM,1960,"GDP, PPP (current international $)",,current US$
12,API_NY.GDP.MKTP.PP.CD_DS2_en_csv_v2.csv,WDI,Antigua and Barbuda,ATG,1960,"GDP, PPP (current international $)",,current US$
13,API_NY.GDP.MKTP.PP.CD_DS2_en_csv_v2.csv,WDI,Australia,AUS,1960,"GDP, PPP (current international $)",,current US$
14,API_NY.GDP.MKTP.PP.CD_DS2_en_csv_v2.csv,WDI,Austria,AUT,1960,"GDP, PPP (current international $)",,current US$
15,API_NY.GDP.MKTP.PP.CD_DS2_en_csv_v2.csv,WDI,Azerbaijan,AZE,1960,"GDP, PPP (current international $)",,current US$
16,API_NY.GDP.MKTP.PP.CD_DS2_en_csv_v2.csv,WDI,Burundi,BDI,1960,"GDP, PPP (current international $)",,current US$
17,API_NY.GDP.MKTP.PP.CD_DS2_en_csv_v2.csv,WDI,Belgium,BEL,1960,"GDP, PPP (current international $)",,current US$
18,API_NY.GDP.MKTP.PP.CD_DS2_en_csv_v2.csv,WDI,Benin,BEN,1960,"GDP, PPP (current international $)",,current US$
19,API_NY.GDP.MKTP.PP.CD_DS2_en_csv_v2.csv,WDI,Burkina Faso,BFA,1960,"GDP, PPP (current international $)",,current US$
20,API_NY.GDP.MKTP.PP.CD_DS2_en_csv_v2.csv,WDI,Bangladesh,BGD,1960,"GDP, PPP (current international $)",,current US$
21,API_NY.GDP.MKTP.PP.CD_DS2_en_csv_v2.csv,WDI,Bulgaria,BGR,1960,"GDP, PPP (current international $)",,current US$
22,API_NY.GDP.MKTP.PP.CD_DS2_en_csv_v2.csv,WDI,Bahrain,BHR,1960,"GDP, PPP (current international $)",,current US$
23,API_NY.GDP.MKTP.PP.CD_DS2_en_csv_v2.csv,WDI,"Bahamas, The",BHS,1960,"GDP, PPP (current international $)",,current US$
24,API_NY.GDP.MKTP.PP.CD_DS2_en_csv_v2.csv,WDI,Bosnia and Herzegovina,BIH,1960,"GDP, PPP (current international $)",,current US$
25,API_NY.GDP.MKTP.PP.CD_DS2_en_csv_v2.csv,WDI,Belarus,BLR,1960,"GDP, PPP (current international $)",,current US$
26,API_NY.GDP.MKTP.PP.CD_DS2_en_csv_v2.csv,WDI,Belize,BLZ,1960,"GDP, PPP (current international $)",,current US$
27,API_NY.GDP.MKTP.PP.CD_DS2_en_csv_v2.csv,WDI,Bermuda,BMU,1960,"GDP, PPP (current international $)",,current US$
28,API_NY.GDP.MKTP.PP.CD_DS2_en_csv_v2.csv,WDI,Bolivia,BOL,1960,"GDP, PPP (current international $)",,current US$
29,API_NY.GDP.MKTP.PP.CD_DS2_en_csv_v2.csv,WDI,Brazil,BRA,1960,"GDP, PPP (current international $)",,current US$
30,API_NY.GDP.MKTP.PP.CD_DS2_en_csv_v2.csv,WDI,Barbados,BRB,1960,"GDP, PPP (current international $)",,current US$
31,API_NY.GDP.MKTP.PP.CD_DS2_en_csv_v2.csv,WDI,Brunei Darussalam,BRN,1960,"GDP, PPP (current international $)",,current US$
32,API_NY.GDP.MKTP.PP.CD_DS2_en_csv_v2.csv,WDI,Bhutan,BTN,1960,"GDP, PPP (current international $)",,current US$
33,API_NY.GDP.MKTP.PP.CD_DS2_en_csv_v2.csv,WDI,Botswana,BWA,1960,"GDP, PPP (current international $)",,current US$
34,API_NY.GDP.MKTP.PP.CD_DS2_en_csv_v2.csv,WDI,Central African Republic,CAF,1960,"GDP, PPP (current international $)",,current US$
35,API_NY.GDP.MKTP.PP.CD_DS2_en_csv_v2.csv,WDI,Canada,CAN,1960,"GDP, PPP (current international $)",,current US$
36,API_NY.GDP.MKTP.PP.CD_DS2_en_csv_v2.csv,WDI,Central Europe and the Baltics,CEB,1960,"GDP, PPP (current international $)",,current US$
37,API_NY.GDP.MKTP.PP.CD_DS2_en_csv_v2.csv,WDI,Switzerland,CHE,1960,"GDP, PPP (current international $)",,current US$
38,API_NY.GDP.MKTP.PP.CD_DS2_en_csv_v2.csv,WDI,Channel Islands,CHI,1960,"GDP, PPP (current international $)",,current US$
39,API_NY.GDP.MKTP.PP.CD_DS2_en_csv_v2.csv,WDI,Chile,CHL,1960,"GDP, PPP (current international $)",,current US$
40,API_NY.GDP.MKTP.PP.CD_DS2_en_csv_v2.csv,WDI,China,CHN,1960,"GDP, PPP (current international $)",,current US$
41,API_NY.GDP.MKTP.PP.CD_DS2_en_csv_v2.csv,WDI,Cameroon,CMR,1960,"GDP, PPP (current international $)",,current US$
42,API_NY.GDP.MKTP.PP.CD_DS2_en_csv_v2.csv,WDI,"Congo, Dem. Rep.",COD,1960,"GDP, PPP (current international $)",,current US$
43,API_NY.GDP.MKTP.PP.CD_DS2_en_csv_v2.csv,WDI,"Congo, Rep.",COG,1960,"GDP, PPP (current international $)",,current US$
44,API_NY.GDP.MKTP.PP.CD_DS2_en_csv_v2.csv,WDI,Colombia,COL,1960,"GDP, PPP (current international $)",,current US$
45,API_NY.GDP.MKTP.PP.CD_DS2_en_csv_v2.csv,WDI,Comoros,COM,1960,"GDP, PPP (current international $)",,current US$
46,API_NY.GDP.MKTP.PP.CD_DS2_en_csv_v2.csv,WDI,Cabo Verde,CPV,1960,"GDP, PPP (current international $)",,current US$
47,API_NY.GDP.MKTP.PP.CD_DS2_en_csv_v2.csv,WDI,Costa Rica,CRI,1960,"GDP, PPP (current international $)",,current US$
48,API_NY.GDP.MKTP.PP.CD_DS2_en_csv_v2.csv,WDI,Caribbean small states,CSS,1960,"GDP, PPP (current international $)",,current US$
49,API_NY.GDP.MKTP.PP.CD_DS2_en_csv_v2.csv,WDI,Cuba,CUB,1960,"GDP, PPP (current international $)",,current US$
50,API_NY.GDP.MKTP.PP.CD_DS2_en_csv_v2.csv,WDI,Curacao,CUW,1960,"GDP, PPP (current international $)",,current US$
51,API_NY.GDP.MKTP.PP.CD_DS2_en_csv_v2.csv,WDI,Cayman Islands,CYM,1960,"GDP, PPP (current international $)",,current US$
52,API_NY.GDP.MKTP.PP.CD_DS2_en_csv_v2.csv,WDI,Cyprus,CYP,1960,"GDP, PPP (current international $)",,current US$
53,API_NY.GDP.MKTP.PP.CD_DS2_en_csv_v2.csv,WDI,Czech Republic,CZE,1960,"GDP, PPP (current international $)",,current US$
54,API_NY.GDP.MKTP.PP.CD_DS2_en_csv_v2.csv,WDI,Germany,DEU,1960,"GDP, PPP (current international $)",,current US$
55,API_NY.GDP.MKTP.PP.CD_DS2_en_csv_v2.csv,WDI,Djibouti,DJI,1960,"GDP, PPP (current international $)",,current US$
56,API_NY.GDP.MKTP.PP.CD_DS2_en_csv_v2.csv,WDI,Dominica,DMA,1960,"GDP, PPP (current international $)",,current US$
57,API_NY.GDP.MKTP.PP.CD_DS2_en_csv_v2.csv,WDI,Denmark,DNK,1960,"GDP, PPP (current international $)",,current US$
58,API_NY.GDP.MKTP.PP.CD_DS2_en_csv_v2.csv,WDI,Dominican Republic,DOM,1960,"GDP, PPP (current international $)",,current US$
59,API_NY.GDP.MKTP.PP.CD_DS2_en_csv_v2.csv,WDI,Algeria,DZA,1960,"GDP, PPP (current international $)",,current US$
